entry_id,title,clause_text,family,predicate,draft_label,is_genuine_gloss,label_correct,notes
db3a9483,The Longhouse,is used to describe the societal order that the far-right strives to alter or exit.,USED-TO,describe,LABEL,,,
83560fbd,Engrish,used to describe Asian to English translations.,USED-TO,describe,LABEL,,,
fe9228cb,Cope  Seethe,used to describe the act of dealing with something difficult.,USED-TO,describe,LABEL,,,
f8ab8fe3,Hon Hon Hon,is often used to comically depict something or someone who is French,USED-TO,depict,LABEL,,,
31149aa2,Qaren,is used to label middle-aged women as right-wing conspiracy theorists,USED-TO,label,LABEL,,,
ff4c387f,Sad Panda,used to describe someone who is sad or depressed.,USED-TO,describe,LABEL,,,
04f146c8,Magneto Was Right,used to describe the views of Marvel Comics character and X-Men villain,USED-TO,describe,LABEL,,,
4b5d9cc1,White Knight,used to describe men who defend women on the Internet with the assumption that they are looking for a romantic reward in return.,USED-TO,describe,LABEL,,,
9bac0cbd,Spornosexual,used to describe a new male aesthetic marked by physical fitness,USED-TO,describe,LABEL,,,
96f060ac,Doom Paul  Its Happening,used to jokingly depict what could happen if Ron Paul was not elected for President during the 2012 elections,USED-TO,depict,LABEL,,,
d81072d7,Whatcha Got There,has been used to illustrate misdirection attempts as an object label meme.,USED-TO,illustrate,LABEL,,,
a638eb71,Dust My Wets,used to comedically describe the act of grating cheese on pasta,USED-TO,describe,LABEL,,,
68d0ac9a,Fucking Mint,used to refer to something that is considered being in 'mint condition,USED-TO,refer,LABEL,,,
3333edbf,EulYoungs Strike,is often used to describe the infamous photograph of Eul-Young standing over the fallen Chinese player,USED-TO,describe,LABEL,,,
c9f53b1b,There Is No Dana Only Zuul,used to refer to someone or something that appears to have been possessed by a demon or an unpopular belief.,USED-TO,refer,LABEL,,,
fece3c93,Dickrider  Dickriding,used to describe someone who attempts to curry favor with someone more popular than them by going out of their way to praise that person (i.e. 'suck-up' or 'kiss-ass').,USED-TO,describe,LABEL,,,
8eac3927,Benis,used to refer to male genitals.,USED-TO,refer,LABEL,,,
7ee3addd,Child Porn 3 Bowing to the Paul God,used to refer to the player.,USED-TO,refer,LABEL,,,
64335e95,Meanwhile in,is used to illustrate ridiculous and absurd situations (usually in medias res) that are easily identified as stereotypical of a certain ethnicity,USED-TO,illustrate,LABEL,,,
7e172cd9,Bussy,used to refer to a man's anus.,USED-TO,refer,LABEL,,,
79859de9,MySpace Angles,used to refer to vainly obscured photos on any social networking site.,USED-TO,refer,LABEL,,,
c1850c26,Noob,used to describe a newcomer or inexperienced user.,USED-TO,describe,LABEL,,,
60ee9838,Sbinnala  Sbinalla,used to describe other types of flubs and fails during auto races.,USED-TO,describe,LABEL,,,
5af4746d,Sad Ant With Bindle  Homeless Ant  How It Feels To Ant,is used to represent the idea of 'sending someone packing.',USED-TO,represent,LABEL,,,
46d7936c,Screw Loose Emoji,is used to portray the notion that someone else is crazy or has a screw loose.,USED-TO,portray,LABEL,,,
