title,entry_id,types,n_instances_prepared,clauses,sensitive_badge,sim_fw_centroid,sim_pos_centroid,sim_content_centroid,sim_visual_centroid
Acceleration Yes,01016339,reaction,21,paired with captions where a person does something clumsy or silly. [pair/caption] || with captions where a person does something clumsy or silly. [caption/person],False,-0.20394,0.49345,0.89509,0.84644
The Worst Trade Deal,024987f1,image macro,41,captioned with the phrase 'This has been the worst trade deal in the history of trade deals [caption/phrase],False,-0.20179,0.47252,0.79722,0.87749
Now Laugh  Laugh at the Image,02b967fd,image macro;parody,40,captioned with the request to laugh in a variety of forms. [caption/request],False,-0.14645,0.6498,0.95672,0.93506
Moon Moon,036cfb95,,91,paired with silly interior monologues in a similar vein to the Doge meme. [pair/monologue],False,-0.11207,0.61003,0.90549,0.88346
You Dumb Bitch,03efe7e2,image macro;reaction,31,paired with the quote has been circulated [pair/quote],False,-0.18767,0.49347,0.90136,0.87938
Mike Pence Is Race Bannon,03f448ec,image macro,39,with captions falsely identifying him as a violently homophobic version of United States Vice President Mike Pence. [caption/version],False,-0.2408,0.57368,0.79437,0.85663
Living in 3017,05311649,,37,used to caption a photo or video of a person demonstrating some kind of unusual pattern of thinking in solving mundane problems [caption/photo],False,-0.29081,0.49798,0.89372,0.86948
This Pleases the Nut,0562fff5,reaction,28,paired with the text [pair/text] || with captions which turn the use of 'nut' into slang for an orgasm. [caption/use],False,-0.19043,0.5115,0.84531,0.84239
Ralph In Danger,05880e0c,"character, reaction",41,paired with captions where one might see themselves in danger. [pair/caption] || with captions where one might see themselves in danger. [caption/danger],False,-0.18925,0.4869,0.89064,0.85421
Im About to End This Mans Whole Career,069c22e8,image macro,41,paired with the quote was circulated as an image macro in reference to situations in which one's reputation or social status could be harmed. [pair/quote],False,-0.2545,0.40988,0.90557,0.90229
AntiMemes,071a2b76,,100,captioned with anti-jokes and meta humor mocking a variety of internet memes [caption/anti],False,-0.05733,0.83498,0.98484,0.97783
Scumbag Brain,07ff787f,,59,with captions that describe self-conflicting psychological experiences like sudden realizations [caption/self],False,-0.12078,0.67161,0.9343,0.80332
Musically Oblivious 8th Grader,08f9eca5,image macro,100,with captions that are blatantly misinformed about a well-known artist [caption/artist],False,-0.12839,0.64118,0.9334,0.85613
Call of Duty Perk Parodies,09f2c5bc,,28,captioned with jokes using the name of the perk as a punchline. [caption/joke],False,-0.13102,0.75679,0.95338,0.9523
Carl the Hedgehog,0a34dae8,"animal, exploitable",41,paired with the text explaining that the image will only be posted once. [pair/text],False,-0.26604,0.28193,0.90851,0.86916
I Can Count to Potato,0ad327dd,,57,paired with photographs of people who appear to have been diagnosed with learning disabilities. [pair/photograph],False,-0.11508,0.68168,0.90246,0.8993
Snail in My Ear Telling Me,0c4281db,exploitable,22,captioned with instructions from 'a snail in the ear [caption/instruction],False,-0.36264,0.32731,0.78443,0.80443
You Should Kill Yourself Now,0cedb86c,reaction,72,paired with his quote which was directed at an alleged stream sniper. [pair/quote],False,-0.27985,0.4245,0.89977,0.88545
Trying to Hold a Fart Next to a Cute Girl in Class,0d1ea326,reaction,37,captioned with humorous frustrations or uncomfortable situations. [caption/frustration],True,-0.27191,0.42922,0.94745,0.91984
Oh Crap  OMG Rage Face,0e5f0b5c,,100,paired with red or white text [pair/text],False,-0.04026,0.82524,0.97917,0.89049
Prepare Your Anus,0e78ec51,,100,often used to caption image macros featuring photographs of intimidating-looking characters. [caption/image],False,-0.26267,0.3519,0.83968,0.87861
If It Pleases the Crown,0f738ae5,image macro,58,captioned with the phrase 'If it pleases the crown [caption/phrase],False,-0.13724,0.68174,0.91599,0.93712
Finally Some Good Fucking Food,0fd158c7,reaction,39,paired with what appears to be inedible or gross things to eat. [pair/thing],False,-0.35029,0.32612,0.85765,0.90358
Welcome to the Gang  Crimes Johnson,109fb9f2,exploitable,35,captioned with various humorous descriptions of their criminal acts. [caption/description],False,-0.30254,0.45076,0.84538,0.78725
The World If,10f98189,"image macro, snowclone",41,captioned with a variation of the phrasal templates 'The world if X' and 'society if X' had happened. [caption/variation],False,-0.37767,0.44185,0.87378,0.87527
Full of Soup Cat,1183d1b9,animal;exploitable;image macro,42,captioned with the Full of X phrasal template. [caption/x],False,-0.47629,0.19446,0.83174,0.82327
Twice at the Same Time,11b796ac,catchphrase;image macro;snowclone,31,captioned with variations of a phrasal template that states an action was invented when the inventor attempted to 'X at the same time.' [caption/variation],False,-0.17567,0.6535,0.90642,0.92303
He Boot Too Big For He Gotdamn Feet,11cc9abb,"copypasta, exploitable",28,paired with images of animals wearing human shoes that are clearly much larger than what they could wear. [pair/image],False,-0.45253,0.26107,0.81533,0.8222
Shreks Cringe Compilation,12231584,image macro;reaction,100,captioned with variations of the phrase '*SNAP* Yep. [caption/variation],False,-0.11541,0.56874,0.9165,0.90056
Lego Doctor,134c8b77,image macro,53,with captions regarding high medical bills. [caption/bill],False,-0.13604,0.70386,0.93355,0.88402
