token,n_formats,context_1,context_2,context_3
about,3548,"- Have Music Player Everyone Is Talking About iPod , Therefore ¡ Am 2",ousands of tweets which taught me a lot about the creative possibilities of spelling,its like an mcu fanclub What's so good about the mcu huh ? but youve got the most th
meme,3391,Know Your Meme planking L,I FIND THIS MEME OFFENSIVE,We had this bitch 1972 OLYMPICS Potato Memesinc CONFITE
click,2858,Card Users Unite giftcarousersunite.com Click ' Like ' to stop New Jersey from taking,KYM SPOILER Click to View,T 10 % OFF MEME VINYLS USE CODE ' KYM ' CLICK HERE
twitter,2496,ss it's on a sexy lady ! Lol 16 Aug via Twitter for iPhone Favorite Retweet Reply Retwe,"around & stroke 11:13 PM Oct 15 , 2022 Twitter for iPhone . www whi 0","around & stroke 11:13 PM Oct 15 , 2022 Twitter for iPhone . www whi 0"
code,2435,TOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE ' KYM ' CLICK HERE,TOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE ' KYM ' CLICK HERE,TOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE ' KYM ' CLICK HERE
want,2403,own post 194 Reality can be whatever I want,oy the stones Reality can be whatever I want They called me a madman you do i 200tal,E WE HAVE GIVEN YOU EVERYTHING THAT YOU WANTED ! THERE IS NOTHING LEFT TO KILLI WHAT
think,2357,What people think Santa looks like What Santa actually lo,"p a kid with a fortnite t - shirt don't think that's cool man , it's just a game",What people think Santa looks like What Santa actually lo
love,2285,t of a woman and other women will still love you .,nish every possible quest in a game you loved and enjoy the moment before you shut i,CINEMA MAKEUP SCHOOL love
back,2277,tt and James B. Steele KERRY ON HIS COMEBACK PLAN EXCLUSIVE Q & A www.me.com ADL Key,BREAKING NEWS Thanos Pressured To Give Back Infinity Stones Thanos claims he's not,wn failure . Where did that bring you ? Back to me .
fuck,2231,"to whom you are born matter the most . FUCK THAT . I am the 1 % , I stand with the","If your god is real , why does he make fucked - up mutants like this pig ? motifake",' m Sorry I FUCKING LOVE Cunny
vinyls,2201,YOUTOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE ' KYM ' CLICK HERE,YOUTOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE ' KYM ' CLICK HERE,YOUTOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE ' KYM ' CLICK HERE
cravi,2199,YOUTOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE ' KYM,YOUTOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE ' KYM,YOUTOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE ' KYM
youtooz,2199,YOUTOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE,YOUTOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE,YOUTOOZ CRAVI GET 10 % OFF MEME VINYLS USE CODE
first,2063,GOATSE Because you'll never forget your first Goatse,Neanderthals first making stone tools by banging two rocks,"Inserting an USB Flash Drive First Try 18,892 VIEWS 98 % From : ThePornDud"
shit,2016,-ta . PLANKING AIN'T GOT SHIT ON OH - TWO - ING !,PASS LIVE BREAKING NEWS MORE COVID BULLSHIT - BE AFRAID 49 PFIZER STOCK DOUBLES AGA,drawing a brainlet meme for you . That shit you posted is quite possibly the dumbes
need,1969,"Oh , no ! Thanos has lost his face and needs your help . •",I am occupying your refrigerator . You need what I provide even if you cannot toler,TILL WEALTH CAN'T BUY STRUGGLE 2 REALLY NEED : WHAT CLEAN AIR AND WATER AND A WORLD
really,1942,"That's a really nice sandwich you've got , Plerce . I b",THAT FAD STARTED AROUND 50 YEARS AGO . REALLY ? OH day,HBORS STILL WEALTH CAN'T BUY STRUGGLE 2 REALLY NEED : WHAT CLEAN AIR AND WATER AND A W
fucking,1918,' m Sorry I FUCKING LOVE Cunny,"his time , buddy . Your stupidity is so fucking immeasurable , I can't put the effort o",' m Sorry I FUCKING LOVE Cunny
please,1856,PLEASE SAY SIKE ...,"GOMMUNISM WILL WIN ! 3 Please be patient , I have AUTISM",", by @ dsmclaughlin51 huffp.st/OIRDola please do not use words like "" policeman "" or"
follow,1839,REFILL YOUR FREEZER IN SECONDS BY FOLLOWING THESE SIMPLE INSTRUCTIONS EB TEAR DI,oman ... 生まれ 育っ た と し て しまう の ある 少 R JP Follow و ۔۔ HO Exchange ww Big Steppy Studer 1,た と し て しまう の ある 少 woman ... as a R JP Follow و ۔۔ HO Exchange ww Big Steppy Studer 1
stop,1828,iftcarousersunite.com Click ' Like ' to stop New Jersey from taking Gift Card money,"ed them down . Never capitulate . Never stop fighting . When you fight , you win . O",he will come for you ... and there's no stopping him ... no stopping no stopping ...
likes,1805,"M from Shreveport , LA 182 Retweets 192 Likes >",nd Rai ... 07/06/2021 Am I only one who likes Kazuya as mc m 78 12 Diamond @Diamond R,nd Rai ... 07/06/2021 Am I only one who likes Kazuya as mc m 78 12 Diamond @Diamond R
game,1778,"dian nerve Incision Transverse carpal ligament released ⒸADAM , Inc.",en you finish every possible quest in a game you loved and enjoy the moment before y,EPIC GAMER COMIC I come in here and every time it
