entry_id,title,clause_text,family,predicate,draft_label,is_genuine_gloss,label_correct,notes
1bd0345f,Ooh Face,to express confusion and also a cringing reaction,EXPRESS,express,EXPRESS,,,
5b12f8a9,Share If You Agree,used to solicit more interaction on Facebook posts in order to expose them to a wider audience.,USED-TO,solicit,DIRECT,,,
ad0cba98,Im a Brave Boy,has been used in a series of video remixes.,USED-TO,use_in,STRUCTURAL,,,
a490513c,LeBron James Kid,paired with various footage from TV shows,CAPTION,pair,CAPTION,,,
e0b61c82,So Done,to indicate a sense of exasperation,EXPRESS,indicate,EXPRESS,,,
f91fa781,Long Neck Reaction Guy,used to demonstrate the emotional reaction of recoiling in horror.,USED-TO,demonstrate,RESPOND,,,
2ff8ee24,Dilly Dilly,used as an audible signal in an NFL game between the Pittsburgh Steelers and the Tennessee Titans.,USED-TO,use_as,STRUCTURAL,,,
27ad42c7,Huell Rolling In Money,with captions of people detailing how they received a small amount of money.,CAPTION,caption,CAPTION,,,
70d7e23d,My Daughter Loves Him I Think He Looks a Little Gay But Whatever Makes My Princess Happy,used as a standalone copypasta without the image.,USED-TO,use_as,STRUCTURAL,,,
9a3cf86d,Milk Edinburgh Club Photo,with captions imagining the man saying something that would make the woman appear bored.,CAPTION,caption,CAPTION,,,
d0da1d2b,Increasingly Buff SpongeBob,has been used to illustrate the changing level of power and aggression in certain individuals in a similar fashion to Mafia City memes.,USED-TO,illustrate,LABEL,,,
84a604e6,One More Lane Bro  One More Lane Will Fix It,used to denounce public infrastructure policies that prioritize low-impact highway expansions over public transport expansions.,USED-TO,denounce,EVALUATE,,,
6947e775,Taylor Swift™ No Copyright Infringement Intended,to mock Taylor Swift's aggressive pursuit defense of the copyright on her lyrics and name,ACTION,mock,EVALUATE,,,
47f9ba47,This Fucking Sucks Actually  Literal Coolest Thing Ever,used to call something out as being bad.,USED-TO,call,LABEL,,,
73bcfb84,I Love You But Please Turn Off Your Phone Or Give Me A Dall,in response to situations or tweets that they find upsetting from organizations or people they like.,RESPONSE,response,RESPOND,,,
b9a25efa,Guy Pointing at Himself,to express confused shock,EXPRESS,express,EXPRESS,,,
da584516,Slow Clap,is used to heckle a speaker or performer.,USED-TO,heckle,OTHER,,,
c45f57fd,Early Life Wikipedia Section,used to reference Jewish ethnicity.,USED-TO,reference,OTHER,,,
